variable,descripcion,dimension_analitica,modulo_fuente,tipo_logico,dtype_dataset,expanded_features,f_score_max,f_score_mean,p_value_min,significativa_5pct,constant_expanded_features,rol,observaciones,rank_f_score
monto_bono_gas,Ingreso por Bono del Gas,programas_sociales,Sumaria,numerica,int16,1,25.187110082846367,25.187110082846367,5.817498090569167e-07,True,0,feature_candidata,Variable monetaria de apoyo/programa social; evaluar por riesgo de proximidad conceptual al target.,20.0
monto_pension_65,Ingreso por Pensión 65,programas_sociales,Sumaria,numerica,int16,1,23.541372003306932,23.541372003306932,1.3485805446498706e-06,True,0,feature_candidata,Variable monetaria de apoyo/programa social; evaluar por riesgo de proximidad conceptual al target.,21.0
num_miembros_sin_atencion_salud,Miembros sin atención en salud,Salud,Modulo04,numerica,int64,1,20.7103280699745,20.7103280699745,5.7692530710160814e-06,True,0,feature_candidata,,22.0
acceso_agua_red,Acceso a agua por red pública,Servicios basicos,Modulo01,binaria,int64,1,20.691640891232364,20.691640891232364,5.825063289555122e-06,True,0,feature_candidata,,23.0
num_miembros_con_enfermedad_4_sem,Miembros con enfermedad en últimas 4 semanas,Salud,Modulo04,numerica,int64,1,17.823848893877265,17.823848893877265,2.5673359085322993e-05,True,0,feature_candidata,,24.0
monto_programa_contigo,Ingreso por programa Contigo,programas_sociales,Sumaria,numerica,int16,1,14.506929530322024,14.506929530322024,0.00014522305093967258,True,0,feature_candidata,Variable monetaria de apoyo/programa social; evaluar por riesgo de proximidad conceptual al target.,25.0
agua_potable_reportada,Agua reportada como potable,Servicios basicos,Modulo01,binaria,int64,1,14.457156732442503,14.457156732442503,0.0001490739487704724,True,0,feature_candidata,,26.0
tipo_vivienda,Tipo de vivienda,Vivienda y entorno,Modulo01,categorica,string,7,12.763638117594095,4.0482260933196565,0.0003644878849386234,True,0,feature_candidata,,27.0
monto_otras_transferencias_publicas,Ingreso por otras transferencias públicas,programas_sociales,Sumaria,numerica,int32,1,12.704367545558927,12.704367545558927,0.00037612374766949274,True,0,feature_candidata,Variable monetaria de apoyo/programa social; evaluar por riesgo de proximidad conceptual al target.,28.0
monto_bono_electricidad,Ingreso por Bono Electricidad,programas_sociales,Sumaria,numerica,int8,1,9.415212921461798,9.415212921461798,0.0021900903094562362,True,0,feature_candidata,Variable monetaria de apoyo/programa social; evaluar por riesgo de proximidad conceptual al target.,29.0
num_miembros_con_sintoma_4_sem,Miembros con síntoma o malestar en últimas 4 semanas,Salud,Modulo04,numerica,int64,1,8.870492644422011,8.870492644422011,0.002944235445152106,True,0,feature_candidata,,30.0
acceso_electricidad,Acceso a electricidad,Energia,Modulo01,binaria,int64,1,7.686271496660413,7.686271496660413,0.0056323782620345585,True,0,feature_candidata,,31.0
agua_disponible_diaria,Disponibilidad diaria de agua,Servicios basicos,Modulo01,binaria,int64,1,7.6044424267279656,7.6044424267279656,0.005892394420618606,True,0,feature_candidata,,32.0
jefe_con_ingreso_laboral,Jefe del hogar con ingreso laboral,Empleo y prevision social,Modulo05,binaria,int64,1,7.183068755209104,7.183068755209104,0.007439233608332041,True,0,feature_candidata,,33.0
tenencia_vivienda,Tenencia de la vivienda,Vivienda y entorno,Modulo01,categorica,string,7,4.171647296656638,1.3937363878766529,0.041278619791130164,True,0,feature_candidata,,34.0
monto_bono_alimentario,Ingreso por bono alimentario,programas_sociales,Sumaria,numerica,int16,1,3.9321229366669277,3.9321229366669277,0.047552445852871786,True,0,feature_candidata,Variable monetaria de apoyo/programa social; evaluar por riesgo de proximidad conceptual al target.,35.0
num_6_16_no_matriculados,Número de personas de 6 a 16 no matriculadas,Educacion,Modulo03,numerica,int64,1,2.714404909873279,2.714404909873279,0.09965341904763513,False,0,feature_candidata,,36.0
edad_jefe,Edad del jefe del hogar,Demografia y composicion del hogar,Modulo02,numerica,float64,1,1.9021997746476023,1.9021997746476023,0.16803586183411306,False,0,feature_candidata,,37.0
monto_apoyo_ollas_comunes,Apoyo alimentario por ollas comunes,programas_sociales,Sumaria,numerica,float32,1,1.5577322734481784,1.5577322734481784,0.2121904249469882,False,0,feature_candidata,Variable monetaria de apoyo/programa social; evaluar por riesgo de proximidad conceptual al target.,38.0
num_miembros_con_ingreso_laboral,Miembros con ingreso laboral,Empleo y prevision social,Modulo05,numerica,int64,1,1.438948759255846,1.438948759255846,0.23049709483876357,False,0,feature_candidata,,39.0
monto_beca_18,Ingreso por Beca 18,programas_sociales,Sumaria,numerica,int32,1,0.6428560092834894,0.6428560092834894,0.4228042218506069,False,0,feature_candidata,Variable monetaria de apoyo/programa social; evaluar por riesgo de proximidad conceptual al target.,40.0
monto_bono_onp_jubilados,Ingreso por bono ONP para jubilados,programas_sociales,Sumaria,numerica,int16,1,0.5614938792107047,0.5614938792107047,0.45377529260088967,False,0,feature_candidata,Variable monetaria de apoyo/programa social; evaluar por riesgo de proximidad conceptual al target.,41.0
monto_bono_yanapay,Ingreso por bono Yanapay,programas_sociales,Sumaria,numerica,int16,1,0.4744166838984194,0.4744166838984194,0.49106773565479345,False,0,feature_candidata,Variable monetaria de apoyo/programa social; evaluar por riesgo de proximidad conceptual al target.,42.0
monto_ingresos_gastos_ollas_comunes,Ingreso/gasto por alimentos consumidos por ollas comunes,programas_sociales,Sumaria,numerica,float32,1,0.3039210448531237,0.3039210448531237,0.5815159495005311,False,0,feature_candidata,Variable monetaria de apoyo/programa social; evaluar por riesgo de proximidad conceptual al target.,43.0
sexo_jefe_bin,Sexo del jefe del hogar,Demografia y composicion del hogar,Modulo02,binaria,int64,1,0.1123969638826712,0.1123969638826712,0.7374779712878137,False,0,feature_candidata,,44.0
num_perceptores_hogar,Número de perceptores del hogar,Empleo y prevision social,Sumaria,numerica,int8,1,0.0918972492919887,0.0918972492919887,0.7618205316912995,False,0,feature_candidata,,45.0
num_adultos_65_mas,Número de adultos de 65 años o más,Demografia y composicion del hogar,Modulo02,numerica,int64,1,0.003924596575632851,0.003924596575632851,0.9500561840629148,False,0,feature_candidata,,46.0
num_6_16_no_asisten,Número de personas de 6 a 16 que no asisten,Educacion,Modulo03,numerica,int64,1,0.0005511251243422702,0.0005511251243422702,0.9812736306902813,False,0,feature_candidata,,47.0
saneamiento_inadecuado,Indicador de saneamiento inadecuado,Servicios basicos,Modulo01,binaria,int64,1,1.1737970349707267e-05,1.1737970349707267e-05,0.9972668463344947,False,0,feature_candidata,,48.0
